0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 2, 7, 7, 7, 7, 1, 7,82, 1, 1, 1, 1, 0
0, 1, 1, 1, 7, 7, 7, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 7, 7, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 1, 1,80, 1,80, 1, 1, 1, 1, 1, 0
0, 1, 1, 1, 7,83, 7, 1, 7,81, 7, 1, 1, 1, 0
1,50, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1
0, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
0, 1, 2, 1, 7,83, 1, 1, 1,80, 1, 1, 1, 1, 0
0, 1, 2, 2, 2, 2, 1, 1, 1, 7, 1, 1, 1, 1, 0
0, 1, 2, 1, 1, 1, 1, 1, 2, 4, 2, 2, 4, 2, 0
0, 1, 2, 2, 2, 2, 2, 4, 2, 4, 2, 1, 1, 1, 0
0, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
, , , , , , , , , , , , , , 
